adulterant,product,category,instances
colour sudan 1,"meat samosas, vegetable samosas, chicken samosas and meat spring rolls",prepared dishes and snacks,1
colour sudan 1,meat and doner spices,herbs and spices,1
colour sudan 1,massala spice mixture,herbs and spices,1
colour sudan 1,pesto rosso sauce,"soups, broths, sauces and condiments",1
colour sudan 1,piccantina (spice mixture),herbs and spices,1
colour sudan 1,masala spice mix,herbs and spices,1
colour sudan 1,pickled mixture of vegetables and pickled garlic,fruits and vegetables,1
colour sudan 1,red pepper powder,herbs and spices,1
colour sudan 1,potato crisps,fruits and vegetables,1
colour sudan 1,potato gnocchi with chilli,prepared dishes and snacks,1
colour sudan 1,masala spice + chicken seasoning,herbs and spices,1
colour sudan 1,marinade made with worcester sauce,"soups, broths, sauces and condiments",1
colour sudan 1,madras curry powder,herbs and spices,1
colour sudan 1,lemon and coriander couscous,prepared dishes and snacks,1
colour sudan 1,leek and saffron sauce for rissoto,"soups, broths, sauces and condiments",1
colour sudan 1,kebab spice blend dispatched,herbs and spices,1
colour sudan 1,italian tricolor pasta spirals,cereals and bakery products,1
colour sudan 1,pasta with spices,cereals and bakery products,1
colour sudan 1,minced chilli,herbs and spices,1
colour sudan 1,minced meat spice mixture and pommes frites spicesalt,herbs and spices,1
colour sudan 1,mix of spices,herbs and spices,1
colour sudan 1,paprika flakes,fruits and vegetables,1
colour sudan 1,paprika and cayenne pepper,herbs and spices,1
colour sudan 1,paprika preparation,"soups, broths, sauces and condiments",1
colour sudan 1,original uncooked italian sausage,meat and meat products (other than poultry),1
colour sudan 1,original madras curry sauce,"soups, broths, sauces and condiments",1
colour sudan 1,pasanda masala with garlic /ginger spice mix,herbs and spices,1
colour sudan 1,oriental spices,herbs and spices,1
colour sudan 1,oriental spice mixture,herbs and spices,1
colour sudan 1,"pasta ""orecchiette all ortolano""",cereals and bakery products,1
colour sudan 1,pasta sauce with onion and garlic,"soups, broths, sauces and condiments",1
colour sudan 1,pasta speciality with hot pepperoni,cereals and bakery products,1
colour sudan 1,organic sausage,meat and meat products (other than poultry),1
colour sudan 1,pasta with chilli,cereals and bakery products,1
colour sudan 1,pasta with garlic and chilli,prepared dishes and snacks,1
colour sudan 1,nehari masala,herbs and spices,1
colour sudan 1,mixture of seven spices,herbs and spices,1
colour sudan 1,mixture of peppers,herbs and spices,1
colour sudan 1,mixture of 7 spices,herbs and spices,1
colour sudan 1,mixed spices - tandoori masala,herbs and spices,1
colour sudan 1,indian curry,herbs and spices,1
colour sudan 1,imlee sauce,"soups, broths, sauces and condiments",1
colour sudan 1,hot spice mixture for meat preparations,herbs and spices,1
colour sudan 1,harissa chilli paste,herbs and spices,1
colour sudan 1,ground sumac,herbs and spices,1
colour sudan 1,ground spicy paprika,herbs and spices,1
colour sudan 1,red hot pepper,herbs and spices,1
colour sudan 1,ground red pepper,herbs and spices,1
colour sudan 1,red lentil dhansak curry sauce,"soups, broths, sauces and condiments",1
colour sudan 1,ground red hot chilli,herbs and spices,1
colour sudan 1,ground red chillies,herbs and spices,1
colour sudan 1,red paprika,herbs and spices,1
colour sudan 1,ground mild red paprika powder,herbs and spices,1
colour sudan 1,ground hot pepper (paprika),herbs and spices,1
colour sudan 1,ground hot pepper,herbs and spices,1
colour sudan 1,ground hot paprika,herbs and spices,1
colour sudan 1,ground dried pepper,herbs and spices,1
colour sudan 1,ground chilliies,herbs and spices,1
colour sudan 1,ground chillies + ground spanish pepper,herbs and spices,1
colour sudan 1,red paprika powder,herbs and spices,1
colour sudan 1,ground chillies,herbs and spices,1
colour sudan 1,red pepper - satÌ© powder (mix),herbs and spices,1
colour sudan 1,red pepper paste,fruits and vegetables,1
colour sudan 1,red hot paprika,herbs and spices,1
colour sudan 1,harissa hot sauce,"soups, broths, sauces and condiments",1
colour sudan 1,hot sliced red paprika,fruits and vegetables,1
colour sudan 1,herbs for pizza and chicken,herbs and spices,1
colour sudan 1,hot scaled red pepper,herbs and spices,1
colour sudan 1,powder seasoning,food additives and flavourings,1
colour sudan 1,powdered hot spices (aci toz biber),herbs and spices,1
colour sudan 1,hot red chilli powder,herbs and spices,1
colour sudan 1,hot pepper powder,herbs and spices,1
colour sudan 1,hot pepper,herbs and spices,1
colour sudan 1,powdered spicy pepper,herbs and spices,1
colour sudan 1,preserved anchovies in chilli,fish and fish products,1
colour sudan 1,raw sausage,meat and meat products (other than poultry),1
colour sudan 1,hot paprika powder,fruits and vegetables,1
colour sudan 1,hot paprika,herbs and spices,1
colour sudan 1,"hot ground paprika, sweet red paprika and bitter red pepper",herbs and spices,1
colour sudan 1,hot chilli pepper,herbs and spices,1
colour sudan 1,red chilli pepper,fruits and vegetables,1
colour sudan 1,red chilli pepper powder,herbs and spices,1
colour sudan 1,hot chilli and hot chilli products,herbs and spices,1
colour sudan 1,red hot chilli pepper,herbs and spices,1
colour sudan 1,hot cayenne pepper,herbs and spices,1
colour sudan 1,hot and mild curry powder,herbs and spices,1
colour sudan 1,chilli paste,"soups, broths, sauces and condiments",1
colour sudan 1,spice mixture for chicken,herbs and spices,1
colour sudan 1,chilli pasta,cereals and bakery products,1
colour orange ii,hot pepper powder,herbs and spices,1
colour sudan 1,tandoori bbq masala spice mix,herbs and spices,1
colour para red,cayenne pepper,herbs and spices,1
colour para red,cayenne,herbs and spices,1
colour para red,canned red beans and canned chilli beans,fruits and vegetables,1
colour orange ii,safflower (carthamus tinctorius),herbs and spices,1
colour orange ii,safflower,herbs and spices,1
colour sudan 1,tandoori masala,"soups, broths, sauces and condiments",1
colour orange ii,roasted melon seeds,"nuts, nut products and seeds",1
colour orange ii,nigerian pepper soup mix,"soups, broths, sauces and condiments",1
colour orange ii,ground red chilli,herbs and spices,1
colour red yeast rice,red beancurd (tofu),fruits and vegetables,1
colour orange ii,food colour for culinary purposes,food additives and flavourings,1
colour sudan 1,tandoori masala barbecue ground spice and barbecue spices preparation,herbs and spices,1
colour sudan 1,tandoori masala ground spice,herbs and spices,1
colour migration,"colour migration and migration of chromium (2.5; 6.4 mg/dmå_), of nickel (130; 540 mg/dmå_) and of primary aromatic amines",food contact materials,1
colour methyl yellow,curry powder with raw material,herbs and spices,1
colour methyl yellow,curry powder madras,herbs and spices,1
colour methyl yellow,curries and spice mixes,herbs and spices,1
colour methyl yellow,bean curd products,"soups, broths, sauces and condiments",1
"colour gardenia yellow, flavonoid",chocolate candies,confectionery,1
colour para red,chilli and paprika powder used for spices mixtures,herbs and spices,1
colour para red,chilli powder,herbs and spices,1
colour para red,grill spices,herbs and spices,1
colour sudan 1,tandoori and paprika powder,herbs and spices,1
colour red yeast rice,noodle,cereals and bakery products,1
colour sudan 1,sweet curry,herbs and spices,1
colour red yeast rice,frankfurter sausage,meat and meat products (other than poultry),1
colour sudan 1,sweet paprika powder,fruits and vegetables,1
colour red yeast rice,bean curd sauce,"soups, broths, sauces and condiments",1
colour red sandalwood extract,spices,herbs and spices,1
colour red sandalwood extract,frozen minced meat,meat and meat products (other than poultry),1
colour para red,vegetable spiced sauce,"soups, broths, sauces and condiments",1
colour sudan 1,sweet pepper and goat cheese dip sauce,"soups, broths, sauces and condiments",1
colour para red,spice-seasoning mix in dinner kit,herbs and spices,1
colour para red,spice mixture for rice dish,herbs and spices,1
colour sudan 1,sweet red pepper powder and hot red pepper powder,herbs and spices,1
colour para red,spice mixture for frankfurter sausage,herbs and spices,1
colour para red,"spice mixture for ""plov"" (uzbek dish)",herbs and spices,1
colour para red,seasoning for pilau,herbs and spices,1
colour para red,guacamole seasoning mix,herbs and spices,1
colour sudan 1,taco sauce,"soups, broths, sauces and condiments",1
colour sudan 1,tandoori,herbs and spices,1
colour para red,ground paprika,herbs and spices,1
colour gardenia yellow,vegetable soup,"soups, broths, sauces and condiments",1
colour sudan 1,tandoori masala mix,herbs and spices,1
colour gardenia yellow,custard cream powder,ices and desserts,1
colour sudan 1,three-coloured pasta,cereals and bakery products,1
cleaning lye,different sorts of beer and tablewater,alcoholic beverages,1
"citrulline malate, beta-alanine",food for particular nutritional use,"dietetic foods, food supplements, fortified foods",1
"citrulline malate, arginine alphaketoglutarate, beta-alanine",food supplement,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,tomato based pasta sauce with chilli,"soups, broths, sauces and condiments",1
citric acid,frozen shrimps (penaeus spp.),crustaceans and products thereof,1
citric acid,frozen pangasius fillets,fish and fish products,1
citric acid,frozen butterfly white shrimps (penaeus vannamei),fish and fish products,1
colour sudan 1,tomato ketchup,fruits and vegetables,1
citrate,fresh sole (solea vulgaris),fish and fish products,1
colour sudan 1,tomato ketchup and sauce products,"soups, broths, sauces and condiments",1
chromium polynicotinate,food supplement,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,tomato ketchup sauce,"soups, broths, sauces and condiments",1
"chromium nicotinate, calcium potassium phosphate-citrate, zinc glycinate chelate, copper glycinate chelate, manganese glycinate chelate",food supplement,"dietetic foods, food supplements, fortified foods",1
chromium nicotinate,protein supplements,"dietetic foods, food supplements, fortified foods",1
chromium amino acid chelate,various chocolate bars,"cocoa and cocoa preparations, coffee and tea",1
chromium amino acid chelate,food supplement,"dietetic foods, food supplements, fortified foods",1
chromium amino acid chelate,dietetic chocolate nut roll,"dietetic foods, food supplements, fortified foods",1
colour sudan 1,tomato sauce with pepperoni (sughi all' arrabiata),"soups, broths, sauces and condiments",1
colour sudan 1,tomatosauce with pepperoni (sughi all' arrabbiata),"soups, broths, sauces and condiments",1
colour sudan 1,thyme & spices,herbs and spices,1
colour sudan 1,"thin, dried, dark-red ribbon pasta with red hot pepper",cereals and bakery products,1
colour gardenia yellow,coloured candies,confectionery,1
colour sudan 1,thick red sauce with tomato chunks,fruits and vegetables,1
colour gardenia yellow,chewing gum,confectionery,1
colour fast garnet,crushed chilli pepper,herbs and spices,1
colour sudan 1,tandoori masala mix for tandoori barbeque chicken,herbs and spices,1
colour chilli sauce,unauthorised colour chilli sauce,"soups, broths, sauces and condiments",1
colour butter yellow,curry powder with chilli,herbs and spices,1
colour sudan 1,tandoori masala natural clear powder,herbs and spices,1
colour sudan 1,tandoori masala spice mix,herbs and spices,1
colour basic red 46,sumac,herbs and spices,1
colour sudan 1,tandoori spice mix,herbs and spices,1
colour,sugar coated fennel seed,confectionery,1
colour,sugar coated fenned seed,herbs and spices,1
colour,red caviar,fish and fish products,1
colour,rainbow flavored ice dots,ices and desserts,1
colour,monascus pigments,food additives and flavourings,1
colour sudan 1,tapenade chilli,"soups, broths, sauces and condiments",1
colour sudan 1,the chilli powder used mg/kg - ppm) in rich & fruity sauce and in spicy sweet pickle,"soups, broths, sauces and condiments",1
colour,marshmallow pops,confectionery,1
colour,fruit flavoured sweets,confectionery,1
colour,dried prunes,fruits and vegetables,1
colour red yeast rice,preserved chilli red bean curd,fruits and vegetables,1
colour red yeast rice,red yeast,fruits and vegetables,1
colour sudan 1,spice mixture for korean carrot salad,herbs and spices,1
colour sudan 1,"""calabra"" spicy sausage",meat and meat products (other than poultry),1
colour sudan 1,ajika sauce,"soups, broths, sauces and condiments",1
colour sudan 1,adzika sauce,"soups, broths, sauces and condiments",1
colour sudan 1,adjika sauce (slabozhgutchaya),"soups, broths, sauces and condiments",1
colour sudan 1,spice mixture with garlic and pepper,herbs and spices,1
colour sudan 1,spice mixture with paprika,herbs and spices,1
colour sudan 1,spiced salt for gyros,herbs and spices,1
colour sudan 1,acidic sauce,"soups, broths, sauces and condiments",1
colour sudan 1,"""sughi pronti all'arrabiata""",prepared dishes and snacks,1
colour sudan 1,"""capocollo piccante"" - sausage",meat and meat products (other than poultry),1
colour sudan 1,"""arrabiata"" spicy tomato sauce","soups, broths, sauces and condiments",1
colour red yeast rice,sausage,food additives and flavourings,1
colour sudan,turmeric powder,herbs and spices,1
colour sudan 1,spices,meat and meat products (other than poultry),1
colour sudan,spices,herbs and spices,1
colour sudan 1,spices (tropical sun fish seasoning),herbs and spices,1
colour sudan,chilli powder,herbs and spices,1
colour rosella extract,instant three mix and water chestnut tapioca desserts,prepared dishes and snacks,1
colour sudan 1,spices for georgian cooking,herbs and spices,1
colour sudan 1,spices for goulash,herbs and spices,1
colour sudan 1,spices for ground carrots,herbs and spices,1
colour sudan 1,all'arrabbiata sauce,"soups, broths, sauces and condiments",1
colour sudan 1,"amatriciana sauce, clam sauce and rocket salad sauce","soups, broths, sauces and condiments",1
colour sudan 1,aubergine sauce with hot chilli pepper,"soups, broths, sauces and condiments",1
colour sudan 1,barbecue sauce,"soups, broths, sauces and condiments",1
